Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
0;0;0;0;0;2021-07-07 11:21:00
0;0;0;0;0;2021-07-07 11:21:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,09;0,12;2021-07-07 11:22:00
0;0,01;0,01;0,15;0,16;2021-07-07 11:23:00
0;0,01;0,01;0,15;0,16;2021-07-07 11:23:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,15;0,16;2021-07-07 12:12:00
0;0,01;0,01;0,18;0,15;2021-07-08 15:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 18:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 18:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 19:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 19:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 20:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 20:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 21:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 21:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 22:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 22:31:00
0;0,01;0,01;0,16;0,16;2021-07-09 23:01:00
0;0,01;0,01;0,16;0,16;2021-07-09 23:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 00:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 00:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 01:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 01:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 02:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 02:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 03:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 03:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 04:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 04:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 05:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 05:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 06:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 06:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 07:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 07:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 08:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 08:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 09:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 09:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 10:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 10:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 11:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 11:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 12:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 12:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 13:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 13:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 14:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 14:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 15:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 15:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 16:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 16:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 17:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 17:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 18:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 18:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 19:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 19:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 20:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 20:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 21:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 21:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 22:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 22:31:00
0;0,01;0,01;0,16;0,16;2021-07-10 23:01:00
0;0,01;0,01;0,16;0,16;2021-07-10 23:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 00:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 00:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 01:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 01:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 02:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 02:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 03:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 03:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 04:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 04:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 05:01:00
