Motor_Frequency_Cmd_Hz;Timestamp;X_Axis_High_Frequency_RMS_Acceleration;X_Axis_RMS_Velocity;Z_Axis_High_Frequency_RMS_Acceleration;Z_Axis_RMS_Velocity
32,8;2020-08-17 14:00:00;0,232;0,326;0,169;3,305
32,8;2020-08-17 14:30:00;0,233;0,38;0,171;1,335
40,2;2020-08-17 15:00:00;1,047;0,538;0,511;0,456
40,2;2020-08-17 15:30:00;1,155;0,572;0,516;0,376
40,2;2020-08-17 16:00:00;0,773;0,605;0,47;0,363
39,9;2020-08-17 16:30:00;0,664;0,588;0,482;0,449
39,9;2020-08-17 17:00:00;0,855;0,599;0.514;0.436
39,9;2020-08-17 17:30:00;0,983;0,606;0.535;0.427
39,9;2020-08-17 18:00:00;1,111;0,613;0.556;0.418
39,9;2020-08-17 18:30:00;1,239;0,621;0,579;0,41
39,9;2020-08-17 19:00:00;1,195;0,619;0,536;0,473
39,9;2020-08-17 19:30:00;1,297;0,538;0,57;0,486
39,9;2020-08-17 20:00:00;1,175;0,588;0,532;0,454
39,9;2020-08-17 20:30:00;1,175;0,629;0,528;0,475
39,9;2020-08-17 21:00:00;1,235;0,621;0,541;0,456
39,9;2020-08-17 21:30:00;1,35;0,569;0,585;0,417
39,9;2020-08-17 22:00:00;1,303;0,573;0,566;0,503
39,9;2020-08-17 22:30:00;1,339;0,581;0,579;0,47
39,9;2020-08-17 23:00:00;1,362;0,605;0,586;0,445
39,9;2020-08-17 23:30:00;1,399;0,533;0,601;0,414
39,9;2020-08-18 00:00:00;1,455;0,583;0,618;0,467
39,9;2020-08-18 00:30:00;1,47;0,585;0,63;0,361
39,9;2020-08-18 01:00:00;1,471;0,63;0,632;0,457
39,9;2020-08-18 01:30:00;1,484;0,6;0,638;0,455
39,9;2020-08-18 02:00:00;1,475;0,621;0,631;0,453
39,9;2020-08-18 02:30:00;1,469;0,621;0,632;0,412
39,9;2020-08-18 03:00:00;1,484;0,612;0,64;0,446
39,9;2020-08-18 03:30:00;1,438;0,618;0,626;0,462
39,9;2020-08-18 04:00:00;1,405;0,641;0,62;0,477
39,9;2020-08-18 04:30:00;1,39;0,749;0,613;0,399
39,9;2020-08-18 05:00:00;1,39;0,613;0,611;0,424
39,9;2020-08-18 05:30:00;1,359;0,696;0,603;0,42
39,9;2020-08-18 06:00:00;1,381;0,71;0,616;0,452
39,9;2020-08-18 06:30:00;1,383;0,663;0,61;0,476
39,9;2020-08-18 07:00:00;1,395;0,6;0,612;0,431
39,9;2020-08-18 07:30:00;1,376;0,647;0,606;0,42
42,5;2020-08-18 08:00:00;1,208;0,711;0,537;0,507
41;2020-08-18 08:30:00;1,261;0,646;0,576;0,424
41;2020-08-18 09:00:00;1,326;0,535;0,593;0,419
41;2020-08-18 09:30:00;1,335;0,545;0,577;0,479
41;2020-08-18 10:00:00;1,369;0,615;0,578;0,432
41;2020-08-18 10:00:00;1,369;0,615;0,578;0,432
11,6;2020-08-18 11:00:00;0,044;0,228;0,078;0,243
41;2020-08-18 11:30:00;1,36;0,596;0,597;0,441
41;2020-08-18 12:00:00;1,392;0,618;0,607;0,531
41;2020-08-18 12:30:00;1,408;0,593;0,615;0,482
41;2020-08-18 13:00:00;1,417;0,557;0,607;0,468
41;2020-08-18 13:30:00;1,408;0,579;0,609;0,592
41;2020-08-18 14:00:00;0,951;0,615;0,553;0,464
41;2020-08-18 14:30:00;0,758;0,657;0,548;0,49
41;2020-08-18 15:00:00;0,984;0,622;0,551;0,462
38;2020-08-18 15:30:00;0,995;0,567;0,537;0,545
38;2020-08-18 16:00:00;0,665;0,608;0,532;0,524
38;2020-08-18 16:30:00;1,01;0,599;0,544;0,438
44,4;2020-08-18 21:00:00;0,844;0,591;0,428;0,536
44,4;2020-08-18 21:30:00;0,977;0,6;0,444;0,497
44,4;2020-08-18 22:00:00;1;0,59;0,436;0,479
43,6;2020-08-18 22:30:00;1,129;0,671;0,472;0,496
43,6;2020-08-18 23:00:00;1,155;0,644;0,477;0,462
43,6;2020-08-18 23:30:00;1,194;0,747;0,488;0,487
48,1;2020-08-19 00:00:00;0,624;0,681;0,311;0,488
48,1;2020-08-19 00:30:00;0,637;0,716;0,308;0,464
48,1;2020-08-19 01:00:00;0,613;0,683;0,315;0,447
44,4;2020-08-19 01:30:00;1,062;0,646;0,457;0,455
44,4;2020-08-19 02:00:00;1,029;0,602;0,446;0,553
44,4;2020-08-19 02:30:00;1,054;0,555;0,457;0,456
44,4;2020-08-19 03:00:00;1,025;0,574;0,449;0,473
44,4;2020-08-19 03:30:00;1,031;0,664;0,451;0,439
44,4;2020-08-19 04:00:00;1,025;0,647;0,452;0,521
47,4;2020-08-19 04:30:00;0,641;0,631;0,327;0,468
47,4;2020-08-19 05:00:00;0,653;0,577;0,325;0,561
47,4;2020-08-19 05:30:00;0,655;0,676;0,326;0,476
47,4;2020-08-19 06:00:00;0,655;0,705;0,327;0,516
47,4;2020-08-19 06:30:00;0,651;0,619;0,323;0,557
47,4;2020-08-19 07:00:00;0,638;0,681;0,319;0,442
47,4;2020-08-19 07:30:00;0,647;0,602;0,324;0,483
47,4;2020-08-19 08:00:00;0,667;0,654;0,331;0,49
47,4;2020-08-19 08:30:00;0,678;0,624;0,33;0,476
47,4;2020-08-19 09:00:00;0,671;0,592;0,335;0,464
47,4;2020-08-19 09:30:00;0,668;0,617;0,331;0,498
47,4;2020-08-19 10:00:00;0,679;0,617;0,333;0,488
47,4;2020-08-19 10:30:00;0,677;0,625;0,329;0,46
48,1;2020-08-20 07:30:00;0,506;0,614;0,419;0,505
48,1;2020-08-20 12:00:00;0,537;0,637;0,371;0,499
48,1;2020-08-20 12:30:00;0,546;0,607;0,316;0,602
48,1;2020-08-20 19:30:00;0,519;0,608;0,315;0,492
45,5;2020-08-20 20:00:00;0,65;0,637;0,346;0,545
45,5;2020-08-20 20:30:00;0,723;0,651;0,345;0,498
45,5;2020-08-20 21:00:00;0,694;0,641;0,338;0,427
45,5;2020-08-20 21:30:00;0,705;0,59;0,338;0,475
45,5;2020-08-20 22:00:00;0,733;0,629;0,345;0,512
45,5;2020-08-20 22:30:00;0,739;0,614;0,345;0,568
45,5;2020-08-20 23:00:00;0,752;0,56;0,354;0,458
45,5;2020-08-20 23:30:00;0,736;0,61;0,363;0,501
45,5;2020-08-21 00:00:00;0,774;0,623;0,365;0,439
