Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
2,5;0;0;0;0;2021-08-18 06:31:00
47,4;0;0;0;0;2021-08-18 07:01:00
47,4;0;0;0;0;2021-08-18 07:31:00
47,4;0;0;0;0;2021-08-18 08:01:00
47,4;0;0;0;0;2021-08-18 08:31:00
47,4;0;0;0;0;2021-08-18 09:01:00
47,4;0;0;0;0;2021-08-18 09:31:00
47,4;0;0;0;0;2021-08-18 10:01:00
42,5;0;0;0;0;2021-08-18 11:31:00
42,5;0;0;0;0;2021-08-18 12:01:00
42,5;0;0;0;0;2021-08-18 12:31:00
42,5;0;0;0;0;2021-08-18 13:31:00
42,5;0;0;0;0;2021-08-18 14:02:00
42,5;0;0;0;0;2021-08-18 14:31:00
42,5;0;0;0;0;2021-08-18 15:01:00
42,5;0;0;0;0;2021-08-18 15:32:00
42,5;0;0;0;0;2021-08-18 16:01:00
42,5;0;0;0;0;2021-08-18 16:31:00
42,5;0;0;0;0;2021-08-18 17:01:00
42,5;0;0;0;0;2021-08-18 17:31:00
43,2;0;0;0;0;2021-08-18 18:31:00
43,2;0;0;0;0;2021-08-18 19:01:00
43,2;0;0;0;0;2021-08-18 19:32:00
43,2;0;0;0;0;2021-08-18 20:01:00
43,2;0;0;0;0;2021-08-18 20:31:00
43,2;0;0;0;0;2021-08-18 21:01:00
43,2;0;0;0;0;2021-08-18 21:31:00
43,2;0;0;0;0;2021-08-18 22:02:00
43,2;0;0;0;0;2021-08-18 22:31:00
43,2;0;0;0;0;2021-08-18 23:01:00
43,2;0;0;0;0;2021-08-18 23:31:00
43,2;0;0;0;0;2021-08-19 00:01:00
43,2;0;0;0;0;2021-08-19 00:31:00
43,2;0;0;0;0;2021-08-19 01:31:00
43,2;0;0;0;0;2021-08-19 02:01:00
43,2;0;0;0;0;2021-08-19 02:31:00
43,2;0;0;0;0;2021-08-19 03:01:00
43,2;0;0;0;0;2021-08-19 03:31:00
43,2;0;0;0;0;2021-08-19 04:04:00
43,2;0;0;0;0;2021-08-19 04:31:00
43,2;0;0;0;0;2021-08-19 05:01:00
43,2;0;0;0;0;2021-08-19 05:35:00
43,2;0;0;0;0;2021-08-19 06:01:00
43,2;0;0;0;0;2021-08-19 06:31:00
43,2;0;0;0;0;2021-08-19 07:01:00
43,2;0;0;0;0;2021-08-19 07:31:00
43,2;0;0;0;0;2021-08-19 08:01:00
43,2;0;0;0;0;2021-08-19 08:31:00
43,2;0;0;0;0;2021-08-19 09:01:00
43,2;0;0;0;0;2021-08-19 09:31:00
43,2;0;0;0;0;2021-08-19 10:01:00
43,2;0;0;0;0;2021-08-19 10:32:00
43,2;0;0;0;0;2021-08-19 11:01:00
43,2;0;0;0;0;2021-08-19 11:31:00
43,2;0;0;0;0;2021-08-19 12:01:00
43,2;0;0;0;0;2021-08-19 12:31:00
43,2;0;0;0;0;2021-08-19 13:01:00
43,2;0;0;0;0;2021-08-19 13:31:00
43,2;0;0;0;0;2021-08-19 14:01:00
47,4;0;0;0;0;2021-08-19 14:31:00
47,4;0;0;0;0;2021-08-19 15:01:00
47,4;0;0;0;0;2021-08-19 15:31:00
47,4;0;0;0;0;2021-08-19 16:01:00
47,4;0;0;0;0;2021-08-19 16:31:00
47,4;0;0;0;0;2021-08-19 17:01:00
45,5;0;0;0;0;2021-08-19 17:31:00
45,5;0;0;0;0;2021-08-19 18:01:00
46,2;0;0;0;0;2021-08-23 08:01:00
46,2;0;0;0;0;2021-08-23 08:31:00
46,2;0;0;0;0;2021-08-23 09:01:00
46,2;0;0;0;0;2021-08-23 09:31:00
46,2;0;0;0;0;2021-08-23 10:01:00
46,2;0;0;0;0;2021-08-23 10:31:00
46,2;0;0;0;0;2021-08-23 11:01:00
46,2;0;0;0;0;2021-08-23 11:31:00
46,2;0;0;0;0;2021-08-23 12:01:00
46,2;0;0;0;0;2021-08-23 12:31:00
46,2;0;0;0;0;2021-08-23 13:01:00
46,2;0;0;0;0;2021-08-23 13:31:00
46,2;0;0;0;0;2021-08-23 14:01:00
46,2;0;0;0;0;2021-08-23 14:31:00
46,2;0;0;0;0;2021-08-23 15:01:00
46,2;0;0;0;0;2021-08-23 15:31:00
46,2;0;0;0;0;2021-08-23 16:01:00
46,2;0;0;0;0;2021-08-23 16:31:00
46,2;0;0;0;0;2021-08-23 17:01:00
46,2;0;0;0;0;2021-08-23 17:31:00
46,2;0;0;0;0;2021-08-23 18:01:00
46,2;0;0;0;0;2021-08-23 18:31:00
46,2;0;0;0;0;2021-08-23 19:01:00
46,2;0;0;0;0;2021-08-23 19:31:00
46,2;0;0;0;0;2021-08-23 20:01:00
46,2;0;0;0;0;2021-08-23 20:31:00
46,2;0;0;0;0;2021-08-23 21:01:00
46,2;0;0;0;0;2021-08-23 21:31:00
46,2;0;0;0;0;2021-08-23 22:01:00
46,2;0;0;0;0;2021-08-23 22:31:00
46,2;0;0;0;0;2021-08-23 23:01:00
46,2;0;0;0;0;2021-08-23 23:31:00
46,2;0;0;0;0;2021-08-24 00:01:00
46,2;0;0;0;0;2021-08-24 00:31:00
46,2;0;0;0;0;2021-08-24 01:01:00
46,2;0;0;0;0;2021-08-24 01:31:00
46,2;0;0;0;0;2021-08-24 02:01:00
46,2;0;0;0;0;2021-08-24 02:31:00
46,2;0;0;0;0;2021-08-24 03:01:00
46,2;0;0;0;0;2021-08-24 03:31:00
46,2;0;0;0;0;2021-08-24 04:01:00
46,2;0;0;0;0;2021-08-24 04:31:00
46,2;0;0;0;0;2021-08-24 05:01:00
46,2;0;0;0;0;2021-08-24 05:31:00
46,2;0;0;0;0;2021-08-24 06:01:00
46,2;0;0;0;0;2021-08-24 06:31:00
46,2;0;0;0;0;2021-08-24 07:01:00
46,2;0;0;0;0;2021-08-24 07:31:00
46,2;0;0;0;0;2021-08-24 08:01:00
46,2;0;0;0;0;2021-08-24 08:31:00
46,2;0;0;0;0;2021-08-24 09:01:00
46,2;0;0;0;0;2021-08-24 09:31:00
46,2;0;0;0;0;2021-08-24 10:01:00
46,2;0;0;0;0;2021-08-24 10:31:00
46,2;0;0;0;0;2021-08-24 11:01:00
46,2;0;0;0;0;2021-08-24 11:31:00
46,2;0;0;0;0;2021-08-24 12:01:00
46,2;0;0;0;0;2021-08-24 12:31:00
46,2;0;0;0;0;2021-08-24 13:01:00
46,2;0;0;0;0;2021-08-24 13:31:00
46,2;0;0;0;0;2021-08-24 14:01:00
46,2;0;0;0;0;2021-08-24 14:31:00
46,2;0;0;0;0;2021-08-24 15:01:00
46,2;0;0;0;0;2021-08-24 15:31:00
44,4;0;0;0;0;2021-08-24 16:01:00
